"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/22/2025","AQS","240313001","3","4.6","ug/m3 LC","26","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/23/2025","AQS","240313001","3","4.7","ug/m3 LC","26","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/24/2025","AQS","240313001","3","6","ug/m3 LC","33","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/25/2025","AQS","240313001","3","3","ug/m3 LC","17","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/26/2025","AQS","240313001","3","5.8","ug/m3 LC","32","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/27/2025","AQS","240313001","3","5.3","ug/m3 LC","29","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/28/2025","AQS","240313001","3","7.7","ug/m3 LC","43","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/29/2025","AQS","240313001","3","13.1","ug/m3 LC","58","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/30/2025","AQS","240313001","3","5.5","ug/m3 LC","31","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/31/2025","AQS","240313001","3","3.4","ug/m3 LC","19","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"04/01/2025","AQS","240313001","3","3.5","ug/m3 LC","19","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
